make[1]: Entering directory '/home/luowen/Programing/ACMtasks/CPU2024'
make[1]: Leaving directory '/home/luowen/Programing/ACMtasks/CPU2024'
VCD info: dumpfile test.vcd opened for output.
         0 00000000 00020137
         1 00000004 0c8000ef
         2 000000cc da56715d
         3 000000ce c0cada56
         4 000000d0 de4ec0ca
         5 000000d2 dc52de4e
         6 000000d4 d85adc52
         7 000000d6 d65ed85a
         8 000000d8 0793d65e
         9 000000da 21400793
        10 000000de c4a2c686
        11 000000e0 c2a6c4a2
        12 000000e2 d462c2a6
        13 000000e4 d266d462
        14 000000e6 d06ad266
        15 000000e8 4711d06a
        16 000000ea 0a934711
        17 000000ec 21400a93
        18 000000f0 46094585
        19 000000f2 468d4609
        20 000000f4 a023468d
        21 000000f6 0007a023
        22 000000fa 0007a223
        23 000000fe 0007a423
        24 00000102 0007a623
        25 00000106 010a8b13
        26 0000010a ca32c82e
        27 0000010c cc36ca32
        28 0000010e ce3acc36
        29 00000110 0933ce3a
        30 00000112 00e10933
        31 00000116 0b9349a5
        32 00000118 02d00b93
        33 0000011c 00030a37
        34 00000120 000aa403
        35 00000124 4f634c01
        36 00000126 0c044f63
        37 0000012a 45a94c81
        38 0000012c 852245a9
        39 0000012e 37b58522
        40 00000130 84e637b5
        41 0000009c 00008293
        42 000000a0 0005ca63
        43 000000a4 00054c63
        44 000000a8 f79ff0ef
        45 00000020 00058613
        46 00000024 00050593
        47 00000028 fff00513
        48 0000002c 02060c63
        49 00000030 00100693
        50 00000034 00b67a63
        51 00000048 00000513
        52 0000004c 00c5e663
        53 00000058 0016d693
        54 0000005c 00165613
        55 00000060 fe0696e3
        56 00000064 00008067
        57 000000ac 00058513
        58 000000b0 00028067
        59 00000132 0c8584e6
        60 00000134 0d330c85
        61 00000136 01990d33
        62 0000013a 03050513
        63 0000013e fead0fa3
        64 00000142 852245a9
        65 00000144 8d228522
        66 00000146 3dc18d22
        67 00000148 842a3dc1
        68 00000018 06054063
        69 0000001c 0605c663
        70 00000020 00058613
        71 00000024 00050593
        72 00000028 fff00513
        73 0000002c 02060c63
        74 00000030 00100693
        75 00000034 00b67a63
        76 00000048 00000513
        77 0000004c 00c5e663
        78 00000058 0016d693
        79 0000005c 00165613
        80 00000060 fe0696e3
        81 00000064 00008067
        82 0000014a c0e3842a
        83 0000014c ffa9c0e3
        84 00000150 000c0763
        85 0000015e 009907b3
        86 00000162 0007c683
        87 00000166 17fd873e
        88 00000168 002317fd
        89 0000016a 00da0023
0        90 0000016e fee91ae3
        91 00000172 96e30a91
        92 00000174 fb6a96e3
        93 00000120 000aa403
        94 00000124 4f634c01
        95 00000126 0c044f63
        96 0000012a 45a94c81
        97 0000012c 852245a9
        98 0000012e 37b58522
        99 00000130 84e637b5
       100 0000009c 00008293
       101 000000a0 0005ca63
       102 000000a4 00054c63
       103 000000a8 f79ff0ef
       104 00000020 00058613
       105 00000024 00050593
       106 00000028 fff00513
       107 0000002c 02060c63
       108 00000030 00100693
       109 00000034 00b67a63
       110 00000048 00000513
       111 0000004c 00c5e663
       112 00000058 0016d693
       113 0000005c 00165613
       114 00000060 fe0696e3
       115 00000064 00008067
       116 000000ac 00058513
       117 000000b0 00028067
       118 00000132 0c8584e6
       119 00000134 0d330c85
       120 00000136 01990d33
       121 0000013a 03050513
       122 0000013e fead0fa3
       123 00000142 852245a9
       124 00000144 8d228522
       125 00000146 3dc18d22
       126 00000148 842a3dc1
       127 00000018 06054063
       128 0000001c 0605c663
       129 00000020 00058613
       130 00000024 00050593
       131 00000028 fff00513
       132 0000002c 02060c63
       133 00000030 00100693
       134 00000034 00b67a63
       135 00000048 00000513
       136 0000004c 00c5e663
       137 00000058 0016d693
       138 0000005c 00165613
       139 00000060 fe0696e3
       140 00000064 00008067
       141 0000014a c0e3842a
       142 0000014c ffa9c0e3
       143 00000150 000c0763
       144 0000015e 009907b3
       145 00000162 0007c683
       146 00000166 17fd873e
       147 00000168 002317fd
       148 0000016a 00da0023
0       149 0000016e fee91ae3
       150 00000172 96e30a91
       151 00000174 fb6a96e3
       152 00000120 000aa403
       153 00000124 4f634c01
